nom_op,id_station_anfr,latitude,longitude,nom_reg,nom_dep,insee_dep,nom_com
Orange,0752290349,"48,88139","2,3775",Île-de-France,Paris,75,Paris
Orange,0952290022,"49,03223","2,36222",Île-de-France,Val-d'Oise,95,Ézanville
Orange,0772290014,"48,42667","2,71084",Île-de-France,Seine-et-Marne,77,Fontainebleau
Orange,0752290340,"48,82222","2,33389",Île-de-France,Paris,75,Paris
Orange,0952290024,"49,05167","2,06694",Île-de-France,Val-d'Oise,95,Osny
Orange,0912290485,"48,69667","2,12973",Île-de-France,Essonne,91,Gif-sur-Yvette
Orange,0782290532,"48,77611","2,00083",Île-de-France,Yvelines,78,Trappes
Orange,0922290007,"48,82","2,22584",Île-de-France,Hauts-de-Seine,92,Meudon
Orange,0752291520,"48,82111","2,34361",Île-de-France,Paris,75,Paris
Orange,0752290168,"48,8625","2,35889",Île-de-France,Paris,75,Paris
Orange,0952290216,"49,11416","2,39973",Île-de-France,Val-d'Oise,95,Luzarches
Orange,0912290027,"48,58528","2,45139",Île-de-France,Essonne,91,Villabé
Orange,0772290322,"48,55417","3,02749",Île-de-France,Seine-et-Marne,77,Nangis
Orange,0782290223,"48,81278","2,13167",Île-de-France,Yvelines,78,Versailles
Orange,0942290293,"48,80972","2,4425",Île-de-France,Val-de-Marne,94,Maisons-Alfort
Orange,0752290364,"48,82445","2,34917",Île-de-France,Paris,75,Paris
Orange,0752290444,"48,85472","2,35611",Île-de-France,Paris,75,Paris
Orange,0952290027,"49,04361","2,20305",Île-de-France,Val-d'Oise,95,Bessancourt
Orange,0772290012,"48,55277","3,30777",Île-de-France,Seine-et-Marne,77,Provins
Orange,0782290034,"48,79944","1,70334",Île-de-France,Yvelines,78,Gambais
Orange,0752290048,"48,84694","2,25695",Île-de-France,Paris,75,Paris
Orange,0942290164,"48,78028","2,39417",Île-de-France,Val-de-Marne,94,Vitry-sur-Seine
Orange,0752290452,"48,86806","2,32194",Île-de-France,Paris,75,Paris
Orange,0912290025,"48,72195","2,26222",Île-de-France,Essonne,91,Massy
Orange,0942290025,"48,78639","2,46333",Île-de-France,Val-de-Marne,94,Créteil
Orange,0752290346,"48,82028","2,36861",Île-de-France,Paris,75,Paris
Orange,0752290221,"48,87639","2,34805",Île-de-France,Paris,75,Paris
Orange,0952290034,"48,98888","2,32777",Île-de-France,Val-d'Oise,95,Montmorency
Orange,0772290539,"48,885","2,57805",Île-de-France,Seine-et-Marne,77,Chelles
Orange,0782290015,"48,64666","1,83111",Île-de-France,Yvelines,78,Rambouillet
Orange,0942290014,"48,79833","2,32334",Île-de-France,Val-de-Marne,94,Cachan
Orange,0932290076,"48,89139","2,43639",Île-de-France,Seine-Saint-Denis,93,Romainville
Orange,0942290076,"48,815","2,42361",Île-de-France,Val-de-Marne,94,Maisons-Alfort
Orange,0752290367,"48,83612","2,27917",Île-de-France,Paris,75,Paris
Orange,0952290185,"49,01972","2,31834",Île-de-France,Val-d'Oise,95,Domont
Orange,0912290031,"48,63278","2,21916",Île-de-France,Essonne,91,Marcoussis
Orange,0772290327,"48,53638","2,67584",Île-de-France,Seine-et-Marne,77,Vaux-le-Pénil
Orange,0782290033,"48,89306","2,13861",Île-de-France,Yvelines,78,Le Vésinet
Orange,0922290029,"48,93083","2,31277",Île-de-France,Hauts-de-Seine,92,Gennevilliers
Orange,0942290047,"48,85611","2,4775",Île-de-France,Val-de-Marne,94,Fontenay-sous-Bois
Orange,0752291173,"48,86111","2,28361",Île-de-France,Paris,75,Paris
Orange,0752290173,"48,86639","2,35389",Île-de-France,Paris,75,Paris
Orange,0952290031,"49,15222","1,79861",Île-de-France,Val-d'Oise,95,Magny-en-Vexin
Orange,0912290199,"48,63778","2,34472",Île-de-France,Essonne,91,Sainte-Geneviève-des-Bois
Orange,0922290028,"48,78666","2,21862",Île-de-France,Hauts-de-Seine,92,Meudon
Orange,0922290027,"48,89916","2,21112",Île-de-France,Hauts-de-Seine,92,Nanterre
Orange,0932290061,"48,90722","2,45083",Île-de-France,Seine-Saint-Denis,93,Bobigny
Orange,0942290045,"48,84333","2,46639",Île-de-France,Val-de-Marne,94,Fontenay-sous-Bois
Orange,0752291165,"48,87417","2,35833",Île-de-France,Paris,75,Paris
Orange,0912290036,"48,67472","2,39222",Île-de-France,Essonne,91,Viry-Châtillon
Orange,0772290030,"48,95194","2,9",Île-de-France,Seine-et-Marne,77,Meaux
Orange,0782290009,"48,83472","2,145",Île-de-France,Yvelines,78,Le Chesnay-Rocquencourt
Orange,0942290016,"48,77777","2,34527",Île-de-France,Val-de-Marne,94,L'Haÿ-les-Roses
Orange,0932290064,"48,91833","2,46777",Île-de-France,Seine-Saint-Denis,93,Drancy
Orange,0942290381,"48,77694","2,43417",Île-de-France,Val-de-Marne,94,Créteil
Orange,0922290152,"48,88639","2,27888",Île-de-France,Hauts-de-Seine,92,Neuilly-sur-Seine
Orange,0752291283,"48,88","2,35305",Île-de-France,Paris,75,Paris
Orange,0952290037,"48,95473","2,23251",Île-de-France,Val-d'Oise,95,Argenteuil
Orange,0912290091,"48,5225","2,28722",Île-de-France,Essonne,91,Lardy
Orange,0772290278,"48,73638","2,77612",Île-de-France,Seine-et-Marne,77,Tournan-en-Brie
Orange,0782290005,"48,91528","2,07778",Île-de-France,Yvelines,78,Saint-Germain-en-Laye
Orange,0922290031,"48,83472","2,25167",Île-de-France,Hauts-de-Seine,92,Boulogne-Billancourt
Orange,0932290048,"48,91667","2,33666",Île-de-France,Seine-Saint-Denis,93,Saint-Ouen-sur-Seine
Orange,0752290239,"48,82611","2,32222",Île-de-France,Paris,75,Paris
Orange,0752290497,"48,875","2,35306",Île-de-France,Paris,75,Paris
Orange,0952290147,"48,95889","2,33528",Île-de-France,Val-d'Oise,95,Montmagny
Orange,0912290040,"48,69528","2,35694",Île-de-France,Essonne,91,Juvisy-sur-Orge
Orange,0772290324,"48,69944","2,61389",Île-de-France,Seine-et-Marne,77,Brie-Comte-Robert
Orange,0782290265,"48,70584","2,05556",Île-de-France,Yvelines,78,Chevreuse
Orange,0932290043,"48,92028","2,40027",Île-de-France,Seine-Saint-Denis,93,Aubervilliers
Orange,0942290172,"48,74972","2,38583",Île-de-France,Val-de-Marne,94,Thiais
Orange,0752290227,"48,87083","2,35861",Île-de-France,Paris,75,Paris
Orange,0952290039,"49,00389","2,38694",Île-de-France,Val-d'Oise,95,Villiers-le-Bel
Orange,0772290037,"48,8825","2,77028",Île-de-France,Seine-et-Marne,77,Chessy
Orange,0932290040,"48,91778","2,38445",Île-de-France,Seine-Saint-Denis,93,Aubervilliers
Orange,0752291214,"48,83","2,29695",Île-de-France,Paris,75,Paris
Orange,0952290032,"49,04166","1,93417",Île-de-France,Val-d'Oise,95,Condécourt
Orange,0772290034,"48,8925","2,61112",Île-de-France,Seine-et-Marne,77,Chelles
Orange,0782290025,"48,87417","2,09638",Île-de-France,Yvelines,78,Marly-le-Roi
Orange,0942290113,"48,80139","2,40084",Île-de-France,Val-de-Marne,94,Vitry-sur-Seine
Orange,0752290439,"48,82972","2,30333",Île-de-France,Paris,75,Paris
Orange,0772290285,"48,64333","2,54361",Île-de-France,Seine-et-Marne,77,Lieusaint
Orange,0782290041,"48,87111","2,06055",Île-de-France,Yvelines,78,L'Étang-la-Ville
Orange,0932290194,"48,97055","2,36444",Île-de-France,Seine-Saint-Denis,93,Pierrefitte-sur-Seine
Orange,0942290410,"48,76389","2,42083",Île-de-France,Val-de-Marne,94,Choisy-le-Roi
Orange,0752290277,"48,83056","2,31306",Île-de-France,Paris,75,Paris
Orange,0752290253,"48,87695","2,36667",Île-de-France,Paris,75,Paris
Orange,0782290296,"48,9275","2,19333",Île-de-France,Yvelines,78,Houilles
Orange,0912290049,"48,54333","2,12417",Île-de-France,Essonne,91,Saint-Chéron
Orange,0772290035,"48,86861","2,70833",Île-de-France,Seine-et-Marne,77,Lagny-sur-Marne
Orange,0782290039,"48,90222","2,00473",Île-de-France,Yvelines,78,Aigremont
Orange,0752290494,"48,82889","2,32305",Île-de-France,Paris,75,Paris
Orange,0752290301,"48,87972","2,36972",Île-de-France,Paris,75,Paris
Orange,0952290050,"49,03945","2,54195",Île-de-France,Val-d'Oise,95,Chennevières-lès-Louvres
Orange,0912290087,"48,51305","2,2089",Île-de-France,Essonne,91,Chamarande
Orange,0782290035,"48,77444","1,97723",Île-de-France,Yvelines,78,Trappes
Orange,0922290049,"48,83528","2,23973",Île-de-France,Hauts-de-Seine,92,Boulogne-Billancourt
Orange,0932290057,"48,93417","2,37167",Île-de-France,Seine-Saint-Denis,93,Saint-Denis
Orange,0752290163,"48,86722","2,33749",Île-de-France,Paris,75,Paris
Orange,0952290077,"49,11056","2,27751",Île-de-France,Val-d'Oise,95,Presles
Orange,0912290034,"48,69223","2,11389",Île-de-France,Essonne,91,Gometz-la-Ville
Orange,0772290043,"48,94805","2,69195",Île-de-France,Seine-et-Marne,77,Claye-Souilly
Orange,0922290499,"48,92222","2,27833",Île-de-France,Hauts-de-Seine,92,Asnières-sur-Seine
Orange,0932290192,"48,92556","2,37056",Île-de-France,Seine-Saint-Denis,93,Saint-Denis
Orange,0942290051,"48,79445","2,43055",Île-de-France,Val-de-Marne,94,Maisons-Alfort
Orange,0752291951,"48,82778","2,35639",Île-de-France,Paris,75,Paris
Orange,0952290040,"49,15445","1,93194",Île-de-France,Val-d'Oise,95,Chars
Orange,0912290059,"48,59722","2,05167",Île-de-France,Essonne,91,Angervilliers
